Updated: 20-Apr-22-13:48:09	 Tech-Crunch

1	Everstage raises $13M Series A to make sales commissions more transparent
	https://tinyurl.com/y5rdvxyh

2	Flutterwave CEO addresses alleged misconduct claims in email to employees
	https://tinyurl.com/y4xa4vdw

3	Indonesian audio content platform NOICE gets $22M Series A
	https://tinyurl.com/y6b6gsrw

4	A camera battery with a built-in USB-C charger wins today’s ‘I didn’t know I needed this’ prize
	https://tinyurl.com/y3vvuumb

5	Samsung is making a Pokémon phone because why not
	https://tinyurl.com/y2uzvl5j

6	Netflix says it will eventually charge more if you share your account
	https://tinyurl.com/y6nflh39

7	Netflix to introduce ad-supported plans in a major shift
	https://tinyurl.com/y3tstorz

8	Daily Crunch: Since December 2021, Better.com has laid off nearly half of its workforce
	https://tinyurl.com/y4foc64t

9	Lyft follows Uber’s lead and removes its mask mandate
	https://tinyurl.com/y2protul

10	A $30 million fund backed by dozens of VIPs aims to bolster founders of Asian descent
	https://tinyurl.com/y355lb4d

11	TechCrunch+ roundup: VC ‘bottom feeders,’ valuation calculator, think like an investor
	https://tinyurl.com/y22qh4ud

12	Lyft doubles micromobility footprint with PBSC acquisition
	https://tinyurl.com/y2xwntbt

13	Netflix shares down more than 20% after losing 200,000 subscribers in first quarter
	https://tinyurl.com/y329fvcm

14	Under intense activist investor pressure, Zendesk could be looking at possible sale
	https://tinyurl.com/y5g5mtop

15	Evok Innovations raises a fund to put industrial decarbonization into high gear
	https://tinyurl.com/y2t8tjsb

16	Disney+ glitch is causing missing episodes for fan-favorite series
	https://tinyurl.com/y3348723

17	Salesforce and Twitter are both lucky their purported $20B deal failed in 2016
	https://tinyurl.com/y4u4rajw

18	Oklo’s Caroline Cochran and Swell’s Suleman Kahn talk scaling alternative energy at TC Sessions: Climate
	https://tinyurl.com/y33bcuap

19	Instagram test removes ‘Recent’ tab from hashtag pages for some users
	https://tinyurl.com/y6ccea9v

20	SaaS demo platform Demostack raises $34M to expand to new markets
	https://tinyurl.com/y2dvskhf

